原始路径,字节数,尺寸,含透明像素,分类,SHA256,新共用ID,迁移方式
archive_ui_kit_v1/reference/progress_mockup.png,2055715,"[1672, 941]",False,page_specific_or_candidate,bb783d629615bd806c209dc2f08f71e98dacaa036291200d8ebbc32d8c96bec6,,保留原包；只在需要时接入
archive_ui_kit_v1/reusable/badge_locked.png,8832,"[140, 44]",True,page_specific_or_candidate,db64c5fc43a915dd02f891929c6d454a834ac3e614ab56cde522c63cec5ec948,badge.locked,candidate_requires_visual_check
archive_ui_kit_v1/reusable/badge_progress.png,8543,"[140, 44]",True,page_specific_or_candidate,8290b54f9bf12b997efe7a49fd07b02d55170a8e6f7e49680990bdebdd779330,badge.progress,candidate_requires_visual_check
archive_ui_kit_v1/reusable/badge_unlocked.png,9032,"[140, 44]",True,page_specific_or_candidate,9c75d8042dabb594ba4699e1e02ae326c8a7bd85c702e4eb1e17d47b03eca36e,badge.unlocked,candidate_requires_visual_check
archive_ui_kit_v1/reusable/button_hover.png,22690,"[256, 76]",True,page_specific_or_candidate,cb8b123c66f635bcb468a1b89747aaaec109ecaf043cad3347df4c8a0d184c77,button.ivory.hover,visual_migration_candidate
archive_ui_kit_v1/reusable/button_normal.png,20006,"[256, 76]",True,page_specific_or_candidate,fe949bf801fbaedc27298253b1f0f9153c594433b5e594d1d8999167a5e563e7,button.ivory.normal,visual_migration_candidate
archive_ui_kit_v1/reusable/button_pressed.png,20143,"[256, 76]",True,page_specific_or_candidate,8262f26301a597812cd0d854b19e15ece8885bb1e80cca785b1f3152cd217903,button.ivory.pressed,visual_migration_candidate
archive_ui_kit_v1/reusable/card_hover.png,37189,"[176, 176]",True,page_specific_or_candidate,03af996a57bec9790df68e2b954c161792290064207b1485c11905d6ccaea40c,,保留原包；只在需要时接入
archive_ui_kit_v1/reusable/card_normal.png,36950,"[176, 176]",True,page_specific_or_candidate,9edb6b106aac46d88fe59880508066076fc438507a131626629263f04e5b0f50,card.body.ivory,candidate_requires_visual_check
archive_ui_kit_v1/reusable/card_selected.png,37415,"[176, 176]",True,page_specific_or_candidate,5a9512f2f07dfa093e821c91988057e9b77dfab9a398d9a33f28f29bf9c2ba75,,保留原包；只在需要时接入
archive_ui_kit_v1/reusable/toggle_hover.png,24984,"[256, 76]",True,page_specific_or_candidate,a4317bf0c1910585ebd9939e9e9f03c7d5a559f6a14a3954027c2bc02180c4be,nav.toggle.hover,candidate_requires_visual_check
archive_ui_kit_v1/reusable/toggle_normal.png,22212,"[256, 76]",True,page_specific_or_candidate,5d1c015da2cca5bcd97a877e28cc32db501b473c6dbcb93134e0cee84c5dd46c,nav.toggle.normal,candidate_requires_visual_check
archive_ui_kit_v1/reusable/toggle_selected.png,21028,"[256, 76]",True,page_specific_or_candidate,ee2bb95df1665b3d368eb9f7f8aa708066aa5fca9d29a5ac9736762428cd7ae6,nav.toggle.selected,candidate_requires_visual_check
main_hud_exact_v1/00_reference/approved_source.png,2647503,"[1672, 941]",False,reference_only,52ae30ee436a890d027ea5f1eafd83b4983dab30943103aea1974acdf850ff0e,,保留原包；只在需要时接入
main_hud_exact_v1/01_exact/commands/command_01_art.png,7782,"[61, 57]",False,reference_only,81066077586bf36b507c36a8cdfdee4e71b8e5db8e05c0d5251e15014bd44e47,,保留原包；只在需要时接入
main_hud_exact_v1/01_exact/commands/command_01_key.png,888,"[16, 20]",False,reference_only,d2db896bff7a9f2086de93976dfeb3608294f6ae8576497186c4b9f0a84bc9bd,,保留原包；只在需要时接入
main_hud_exact_v1/01_exact/commands/command_01_slot.png,9349,"[69, 65]",False,reference_only,1e1ac2c70c1822e4d1ac6f391263e7b1961aec9326693b8f527f8ac5b5ba2097,,保留原包；只在需要时接入
main_hud_exact_v1/01_exact/commands/command_02_art.png,7592,"[61, 57]",False,reference_only,8cf07778c907c54421e97e0693747e8655c345803f5e6695664fce984193d06e,,保留原包；只在需要时接入
main_hud_exact_v1/01_exact/commands/command_02_key.png,892,"[16, 20]",False,reference_only,3545b62d3db4920b9b2664739d6015b296061da94c34ad3931d5bc1fe357f098,,保留原包；只在需要时接入
main_hud_exact_v1/01_exact/commands/command_02_slot.png,9109,"[69, 65]",False,reference_only,75993ab4f74a067fda7ebba340568f19aeb84f4a7c2cca3d67816665574049fc,,保留原包；只在需要时接入
main_hud_exact_v1/01_exact/commands/command_03_art.png,7052,"[61, 57]",False,reference_only,36df45389ccfd947362c6f9a19de09bc1660647943f5656efc5a13c44e8e66ed,,保留原包；只在需要时接入
main_hud_exact_v1/01_exact/commands/command_03_key.png,782,"[16, 20]",False,reference_only,4085c6284e98351225f722f0f61f3d68a18bb056d8c5eafa4bbce075d72d99c7,,保留原包；只在需要时接入
main_hud_exact_v1/01_exact/commands/command_03_slot.png,8473,"[69, 65]",False,reference_only,ebfcf034a96639f9c8981e27c9e5c8bf7eb3c9f09a307baa971cf2815f8a17a0,,保留原包；只在需要时接入
main_hud_exact_v1/01_exact/commands/command_04_art.png,7204,"[61, 57]",False,reference_only,b100b207d3f3e60c1445e46ce227dd7ed922d5b483c6be3d278268a858bb31f8,,保留原包；只在需要时接入
main_hud_exact_v1/01_exact/commands/command_04_key.png,808,"[16, 20]",False,reference_only,617ebc8e9f235bf3ebb5126fd6d8c89344c3736794a40cc5ead3f82daa161819,,保留原包；只在需要时接入
